# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   21.43812709    0.05576892
   21.57190635    0.05567284
   21.70568562    0.05567744
   21.83946488    0.05589614
   21.97324415    0.05636920
   22.10702341    0.05707364
   22.24080268    0.05794614
   22.37458194    0.05886394
   22.50836120    0.05965233
   22.64214047    0.06019577
   22.77591973    0.06056313
   22.90969900    0.06098317
   23.04347826    0.06165248
   23.17725753    0.06252656
   23.31103679    0.06326591
   23.44481605    0.06340261
   23.57859532    0.06261883
   23.71237458    0.06091079
   23.84615385    0.05851555
   23.97993311    0.05570693
   24.11371237    0.05266432
   24.24749164    0.04950762
   24.38127090    0.04639918
   24.51505017    0.04355916
   24.64882943    0.04117235
   24.78260870    0.03928404
   24.91638796    0.03776728
   25.05016722    0.03638419
   25.18394649    0.03492266
   25.31772575    0.03332844
   25.45150502    0.03172695
   25.58528428    0.03032716
   25.71906355    0.02930383
   25.85284281    0.02873120
   25.98662207    0.02856397
   26.12040134    0.02863809
   26.25418060    0.02869193
   26.38795987    0.02843654
   26.52173913    0.02767667
   26.65551839    0.02640496
   26.78929766    0.02478275
   26.92307692    0.02303403
   27.05685619    0.02135431
   27.19063545    0.01988082
   27.32441472    0.01869769
   27.45819398    0.01784648
   27.59197324    0.01733376
   27.72575251    0.01713305
   27.85953177    0.01717789
   27.99331104    0.01734997
   28.12709030    0.01748134
   28.26086957    0.01739775
   28.39464883    0.01700003
   28.52842809    0.01632066
   28.66220736    0.01549480
   28.79598662    0.01467484
   28.92976589    0.01396367
   29.06354515    0.01339723
   29.19732441    0.01296082
   29.33110368    0.01261793
   29.46488294    0.01233477
   29.59866221    0.01208977
   29.73244147    0.01187157
   29.86622074    0.01167528
   30.00000000    0.01149667
