# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   -1.03103103    0.00190210
   -0.99099099    0.00191660
   -0.95095095    0.00193127
   -0.91091091    0.00194613
   -0.87087087    0.00196118
   -0.83083083    0.00197643
   -0.79079079    0.00199187
   -0.75075075    0.00200752
   -0.71071071    0.00202337
   -0.67067067    0.00203943
   -0.63063063    0.00205570
   -0.59059059    0.00207219
   -0.55055055    0.00208891
   -0.51051051    0.00210585
   -0.47047047    0.00212301
   -0.43043043    0.00214042
   -0.39039039    0.00215806
   -0.35035035    0.00217595
   -0.31031031    0.00219409
   -0.27027027    0.00221248
   -0.23023023    0.00223113
   -0.19019019    0.00225005
   -0.15015015    0.00226924
   -0.11011011    0.00228870
   -0.07007007    0.00230836
   -0.03003003    0.00232832
    0.01001001    0.00234863
    0.05005005    0.00236930
    0.09009009    0.00239034
    0.13013013    0.00241162
    0.17017017    0.00243319
    0.21021021    0.00245509
    0.25025025    0.00247733
    0.29029029    0.00249990
    0.33033033    0.00252283
    0.37037037    0.00254611
    0.41041041    0.00256977
    0.45045045    0.00259380
    0.49049049    0.00261821
    0.53053053    0.00264302
    0.57057057    0.00266823
    0.61061061    0.00269385
    0.65065065    0.00271989
    0.69069069    0.00274637
    0.73073073    0.00277329
    0.77077077    0.00280067
    0.81081081    0.00282851
    0.85085085    0.00285683
    0.89089089    0.00288564
    0.93093093    0.00291495
    0.97097097    0.00294478
    1.01101101    0.00297514
    1.05105105    0.00300604
    1.09109109    0.00303750
    1.13113113    0.00306953
    1.17117117    0.00310215
    1.21121121    0.00313537
    1.25125125    0.00316921
    1.29129129    0.00320369
    1.33133133    0.00323883
    1.37137137    0.00327464
    1.41141141    0.00331115
    1.45145145    0.00334837
    1.49149149    0.00338633
    1.53153153    0.00342504
    1.57157157    0.00346453
    1.61161161    0.00350483
    1.65165165    0.00354595
    1.69169169    0.00358793
    1.73173173    0.00363078
    1.77177177    0.00367455
    1.81181181    0.00371925
    1.85185185    0.00376491
    1.89189189    0.00381158
    1.93193193    0.00385927
    1.97197197    0.00390803
    2.01201201    0.00395789
    2.05205205    0.00400889
    2.09209209    0.00406107
    2.13213213    0.00411446
    2.17217217    0.00416912
    2.21221221    0.00422508
    2.25225225    0.00428240
    2.29229229    0.00434112
    2.33233233    0.00440129
    2.37237237    0.00446297
    2.41241241    0.00452622
    2.45245245    0.00459110
    2.49249249    0.00465766
    2.53253253    0.00472599
    2.57257257    0.00479613
    2.61261261    0.00486818
    2.65265265    0.00494221
    2.69269269    0.00501830
    2.73273273    0.00509653
    2.77277277    0.00517700
    2.81281281    0.00525981
    2.85285285    0.00534505
    2.89289289    0.00543284
    2.93293293    0.00552328
    2.97297297    0.00561651
    3.01301301    0.00571264
    3.05305305    0.00581182
    3.09309309    0.00591419
    3.13313313    0.00601990
