# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   15.76576577    0.00520769
   15.87587588    0.00529621
   15.98598599    0.00537754
   16.09609610    0.00543974
   16.20620621    0.00547553
   16.31631632    0.00548316
   16.42642643    0.00546682
   16.53653654    0.00543656
   16.64664665    0.00540647
   16.75675676    0.00539081
   16.86686687    0.00539885
   16.97697698    0.00543124
   17.08708709    0.00547939
   17.19719720    0.00552811
   17.30730731    0.00556006
   17.41741742    0.00556005
   17.52752753    0.00551815
   17.63763764    0.00543150
   17.74774775    0.00530452
   17.85785786    0.00514719
   17.96796797    0.00497158
   18.07807808    0.00478849
   18.18818819    0.00460552
   18.29829830    0.00442706
   18.40840841    0.00425539
   18.51851852    0.00409229
   18.62862863    0.00394017
   18.73873874    0.00380238
   18.84884885    0.00368268
   18.95895896    0.00358426
   19.06906907    0.00350870
   19.17917918    0.00345572
   19.28928929    0.00342374
   19.39939940    0.00341058
   19.50950951    0.00341380
   19.61961962    0.00343056
   19.72972973    0.00345724
   19.83983984    0.00348950
   19.94994995    0.00352302
   20.06006006    0.00355524
   20.17017017    0.00358715
   20.28028028    0.00362328
   20.39039039    0.00366900
   20.50050050    0.00372669
   20.61061061    0.00379326
   20.72072072    0.00386064
   20.83083083    0.00391881
   20.94094094    0.00395984
   21.05105105    0.00398088
   21.16116116    0.00398470
   21.27127127    0.00397738
   21.38138138    0.00396504
   21.49149149    0.00395140
   21.60160160    0.00393757
   21.71171171    0.00392329
   21.82182182    0.00390820
   21.93193193    0.00389257
   22.04204204    0.00387809
   22.15215215    0.00386824
   22.26226226    0.00386762
   22.37237237    0.00387962
   22.48248248    0.00390382
   22.59259259    0.00393462
   22.70270270    0.00396203
   22.81281281    0.00397460
   22.92292292    0.00396360
   23.03303303    0.00392657
   23.14314314    0.00386828
   23.25325325    0.00379832
   23.36336336    0.00372723
   23.47347347    0.00366316
   23.58358358    0.00361017
   23.69369369    0.00356822
   23.80380380    0.00353444
   23.91391391    0.00350478
   24.02402402    0.00347525
   24.13413413    0.00344273
   24.24424424    0.00340562
   24.35435435    0.00336438
   24.46446446    0.00332128
   24.57457457    0.00327907
   24.68468468    0.00323932
   24.79479479    0.00320187
   24.90490490    0.00316579
   25.01501502    0.00313080
   25.12512513    0.00309761
   25.23523524    0.00306687
   25.34534535    0.00303788
   25.45545546    0.00300866
   25.56556557    0.00297751
   25.67567568    0.00294467
   25.78578579    0.00291263
   25.89589590    0.00288473
