# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   15.76576577    0.00385690
   15.87587588    0.00385824
   15.98598599    0.00388678
   16.09609610    0.00393934
   16.20620621    0.00401350
   16.31631632    0.00410718
   16.42642643    0.00421837
   16.53653654    0.00434529
   16.64664665    0.00448658
   16.75675676    0.00464025
   16.86686687    0.00480166
   16.97697698    0.00496199
   17.08708709    0.00510892
   17.19719720    0.00522917
   17.30730731    0.00531129
   17.41741742    0.00534797
   17.52752753    0.00533775
   17.63763764    0.00528601
   17.74774775    0.00520412
   17.85785786    0.00510643
   17.96796797    0.00500606
   18.07807808    0.00491164
   18.18818819    0.00482643
   18.29829830    0.00474958
   18.40840841    0.00467905
   18.51851852    0.00461449
   18.62862863    0.00455858
   18.73873874    0.00451603
   18.84884885    0.00449126
   18.95895896    0.00448612
   19.06906907    0.00449904
   19.17917918    0.00452581
   19.28928929    0.00456104
   19.39939940    0.00459899
   19.50950951    0.00463305
   19.61961962    0.00465520
   19.72972973    0.00465676
   19.83983984    0.00463053
   19.94994995    0.00457355
   20.06006006    0.00448895
   20.17017017    0.00438614
   20.28028028    0.00427848
   20.39039039    0.00417891
   20.50050050    0.00409585
   20.61061061    0.00403154
   20.72072072    0.00398304
   20.83083083    0.00394467
   20.94094094    0.00391029
   21.05105105    0.00387502
   21.16116116    0.00383640
   21.27127127    0.00379448
   21.38138138    0.00375072
   21.49149149    0.00370666
   21.60160160    0.00366342
   21.71171171    0.00362202
   21.82182182    0.00358360
   21.93193193    0.00354907
   22.04204204    0.00351911
   22.15215215    0.00349483
   22.26226226    0.00347835
   22.37237237    0.00347222
   22.48248248    0.00347751
   22.59259259    0.00349168
   22.70270270    0.00350764
   22.81281281    0.00351503
   22.92292292    0.00350366
   23.03303303    0.00346764
   23.14314314    0.00340780
   23.25325325    0.00333094
   23.36336336    0.00324676
   23.47347347    0.00316456
   23.58358358    0.00309112
   23.69369369    0.00303032
   23.80380380    0.00298381
   23.91391391    0.00295200
   24.02402402    0.00293451
   24.13413413    0.00293014
   24.24424424    0.00293679
   24.35435435    0.00295144
   24.46446446    0.00297047
   24.57457457    0.00298990
   24.68468468    0.00300567
   24.79479479    0.00301431
   24.90490490    0.00301380
   25.01501502    0.00300410
   25.12512513    0.00298675
   25.23523524    0.00296362
   25.34534535    0.00293609
   25.45545546    0.00290540
   25.56556557    0.00287349
   25.67567568    0.00284324
   25.78578579    0.00281748
   25.89589590    0.00279737
   26.00600601    0.00278155
   26.11611612    0.00276707
   26.22622623    0.00275153
