# final state angular momentum:   2
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
   -1.67224080    0.00000193    0.00000139    0.00000054
   -1.57190635    0.00000208    0.00000151    0.00000056
   -1.47157191    0.00000224    0.00000165    0.00000059
   -1.37123746    0.00000242    0.00000180    0.00000062
   -1.27090301    0.00000263    0.00000197    0.00000066
   -1.17056856    0.00000287    0.00000217    0.00000070
   -1.07023411    0.00000314    0.00000240    0.00000074
   -0.96989967    0.00000345    0.00000266    0.00000079
   -0.86956522    0.00000380    0.00000295    0.00000084
   -0.76923077    0.00000420    0.00000330    0.00000090
   -0.66889632    0.00000467    0.00000369    0.00000097
   -0.56856187    0.00000520    0.00000415    0.00000105
   -0.46822742    0.00000580    0.00000466    0.00000114
   -0.36789298    0.00000648    0.00000524    0.00000124
   -0.26755853    0.00000724    0.00000588    0.00000135
   -0.16722408    0.00000806    0.00000657    0.00000148
   -0.06688963    0.00000892    0.00000730    0.00000163
    0.03344482    0.00000982    0.00000804    0.00000178
    0.13377926    0.00001069    0.00000873    0.00000195
    0.23411371    0.00001149    0.00000936    0.00000213
    0.33444816    0.00001218    0.00000989    0.00000229
    0.43478261    0.00001270    0.00001027    0.00000243
    0.53511706    0.00001302    0.00001049    0.00000254
    0.63545151    0.00001311    0.00001052    0.00000259
    0.73578595    0.00001295    0.00001036    0.00000259
    0.83612040    0.00001256    0.00001002    0.00000254
    0.93645485    0.00001199    0.00000953    0.00000246
    1.03678930    0.00001128    0.00000893    0.00000236
    1.13712375    0.00001049    0.00000824    0.00000225
    1.23745819    0.00000968    0.00000752    0.00000216
    1.33779264    0.00000887    0.00000680    0.00000207
    1.43812709    0.00000811    0.00000610    0.00000201
    1.53846154    0.00000741    0.00000545    0.00000197
    1.63879599    0.00000679    0.00000485    0.00000194
    1.73913043    0.00000625    0.00000432    0.00000193
    1.83946488    0.00000580    0.00000386    0.00000194
    1.93979933    0.00000541    0.00000345    0.00000196
    2.04013378    0.00000510    0.00000309    0.00000201
    2.14046823    0.00000485    0.00000279    0.00000206
    2.24080268    0.00000466    0.00000252    0.00000214
    2.34113712    0.00000452    0.00000229    0.00000223
    2.44147157    0.00000443    0.00000209    0.00000234
    2.54180602    0.00000438    0.00000191    0.00000246
    2.64214047    0.00000438    0.00000176    0.00000261
    2.74247492    0.00000441    0.00000163    0.00000278
    2.84280936    0.00000449    0.00000151    0.00000298
    2.94314381    0.00000462    0.00000141    0.00000321
    3.04347826    0.00000479    0.00000132    0.00000346
    3.14381271    0.00000500    0.00000124    0.00000376
    3.24414716    0.00000528    0.00000117    0.00000410
    3.34448161    0.00000561    0.00000112    0.00000450
    3.44481605    0.00000602    0.00000106    0.00000495
    3.54515050    0.00000650    0.00000102    0.00000548
    3.64548495    0.00000706    0.00000098    0.00000608
    3.74581940    0.00000773    0.00000095    0.00000678
    3.84615385    0.00000851    0.00000093    0.00000758
    3.94648829    0.00000941    0.00000091    0.00000850
    4.04682274    0.00001043    0.00000090    0.00000953
    4.14715719    0.00001157    0.00000089    0.00001068
    4.24749164    0.00001281    0.00000089    0.00001192
    4.34782609    0.00001410    0.00000089    0.00001321
    4.44816054    0.00001538    0.00000090    0.00001448
    4.54849498    0.00001657    0.00000092    0.00001566
    4.64882943    0.00001760    0.00000094    0.00001667
    4.74916388    0.00001841    0.00000097    0.00001744
    4.84949833    0.00001898    0.00000101    0.00001797
    4.94983278    0.00001933    0.00000106    0.00001827
    5.05016722    0.00001951    0.00000112    0.00001839
    5.15050167    0.00001958    0.00000118    0.00001840
    5.25083612    0.00001959    0.00000125    0.00001834
    5.35117057    0.00001952    0.00000131    0.00001821
    5.45150502    0.00001934    0.00000135    0.00001798
    5.55183946    0.00001897    0.00000138    0.00001759
    5.65217391    0.00001836    0.00000137    0.00001699
    5.75250836    0.00001748    0.00000134    0.00001614
    5.85284281    0.00001635    0.00000128    0.00001508
    5.95317726    0.00001506    0.00000120    0.00001387
    6.05351171    0.00001370    0.00000111    0.00001259
    6.15384615    0.00001234    0.00000102    0.00001132
    6.25418060    0.00001106    0.00000093    0.00001013
    6.35451505    0.00000989    0.00000085    0.00000904
    6.45484950    0.00000885    0.00000078    0.00000807
    6.55518395    0.00000793    0.00000072    0.00000721
    6.65551839    0.00000713    0.00000066    0.00000647
    6.75585284    0.00000644    0.00000061    0.00000583
    6.85618729    0.00000583    0.00000056    0.00000527
    6.95652174    0.00000531    0.00000053    0.00000479
    7.05685619    0.00000485    0.00000049    0.00000436
    7.15719064    0.00000445    0.00000046    0.00000399
    7.25752508    0.00000409    0.00000043    0.00000366
    7.35785953    0.00000377    0.00000040    0.00000337
    7.45819398    0.00000348    0.00000038    0.00000310
    7.55852843    0.00000322    0.00000036    0.00000286
    7.65886288    0.00000298    0.00000034    0.00000264
    7.75919732    0.00000277    0.00000032    0.00000245
    7.85953177    0.00000258    0.00000031    0.00000227
    7.95986622    0.00000241    0.00000029    0.00000212
    8.06020067    0.00000226    0.00000028    0.00000198
    8.16053512    0.00000212    0.00000027    0.00000185
    8.26086957    0.00000200    0.00000026    0.00000174
    8.36120401    0.00000188    0.00000025    0.00000163
    8.46153846    0.00000178    0.00000024    0.00000154
    8.56187291    0.00000169    0.00000024    0.00000146
    8.66220736    0.00000161    0.00000023    0.00000138
    8.76254181    0.00000154    0.00000023    0.00000131
    8.86287625    0.00000147    0.00000022    0.00000125
    8.96321070    0.00000141    0.00000022    0.00000119
    9.06354515    0.00000136    0.00000022    0.00000114
    9.16387960    0.00000131    0.00000021    0.00000110
    9.26421405    0.00000127    0.00000021    0.00000106
    9.36454849    0.00000123    0.00000021    0.00000102
    9.46488294    0.00000121    0.00000021    0.00000099
    9.56521739    0.00000118    0.00000022    0.00000097
    9.66555184    0.00000116    0.00000022    0.00000094
    9.76588629    0.00000115    0.00000022    0.00000093
    9.86622074    0.00000115    0.00000023    0.00000092
    9.96655518    0.00000114    0.00000024    0.00000091
   10.06688963    0.00000114    0.00000024    0.00000090
   10.16722408    0.00000114    0.00000025    0.00000090
   10.26755853    0.00000114    0.00000025    0.00000089
   10.36789298    0.00000113    0.00000025    0.00000088
   10.46822742    0.00000111    0.00000025    0.00000086
   10.56856187    0.00000108    0.00000024    0.00000084
   10.66889632    0.00000104    0.00000023    0.00000081
   10.76923077    0.00000100    0.00000022    0.00000078
   10.86956522    0.00000095    0.00000021    0.00000074
   10.96989967    0.00000090    0.00000020    0.00000070
   11.07023411    0.00000085    0.00000019    0.00000066
   11.17056856    0.00000081    0.00000018    0.00000063
   11.27090301    0.00000077    0.00000017    0.00000060
