# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
    2.04013378    0.00011987    0.00005896    0.00006092
    2.14046823    0.00012289    0.00006069    0.00006221
    2.24080268    0.00012612    0.00006251    0.00006361
    2.34113712    0.00012956    0.00006444    0.00006512
    2.44147157    0.00013323    0.00006649    0.00006675
    2.54180602    0.00013716    0.00006865    0.00006851
    2.64214047    0.00014136    0.00007095    0.00007041
    2.74247492    0.00014585    0.00007339    0.00007246
    2.84280936    0.00015064    0.00007598    0.00007466
    2.94314381    0.00015577    0.00007874    0.00007703
    3.04347826    0.00016125    0.00008168    0.00007957
    3.14381271    0.00016711    0.00008481    0.00008231
    3.24414716    0.00017338    0.00008814    0.00008524
    3.34448161    0.00018008    0.00009169    0.00008839
    3.44481605    0.00018725    0.00009548    0.00009177
    3.54515050    0.00019489    0.00009951    0.00009538
    3.64548495    0.00020305    0.00010380    0.00009925
    3.74581940    0.00021174    0.00010835    0.00010339
    3.84615385    0.00022097    0.00011318    0.00010779
    3.94648829    0.00023075    0.00011828    0.00011248
    4.04682274    0.00024109    0.00012365    0.00011744
    4.14715719    0.00025197    0.00012928    0.00012269
    4.24749164    0.00026335    0.00013515    0.00012821
    4.34782609    0.00027522    0.00014123    0.00013398
    4.44816054    0.00028750    0.00014751    0.00013999
    4.54849498    0.00030015    0.00015393    0.00014622
    4.64882943    0.00031309    0.00016047    0.00015263
    4.74916388    0.00032626    0.00016707    0.00015919
    4.84949833    0.00033961    0.00017372    0.00016589
    4.94983278    0.00035311    0.00018040    0.00017271
    5.05016722    0.00036674    0.00018709    0.00017965
    5.15050167    0.00038052    0.00019381    0.00018671
    5.25083612    0.00039448    0.00020058    0.00019390
    5.35117057    0.00040868    0.00020743    0.00020125
    5.45150502    0.00042316    0.00021440    0.00020877
    5.55183946    0.00043794    0.00022149    0.00021645
    5.65217391    0.00045300    0.00022872    0.00022428
    5.75250836    0.00046826    0.00023607    0.00023220
    5.85284281    0.00048358    0.00024347    0.00024012
    5.95317726    0.00049874    0.00025083    0.00024791
    6.05351171    0.00051345    0.00025805    0.00025540
    6.15384615    0.00052736    0.00026497    0.00026239
    6.25418060    0.00054010    0.00027142    0.00026867
    6.35451505    0.00055128    0.00027726    0.00027402
    6.45484950    0.00056055    0.00028231    0.00027824
    6.55518395    0.00056761    0.00028645    0.00028116
    6.65551839    0.00057225    0.00028958    0.00028267
    6.75585284    0.00057434    0.00029162    0.00028272
    6.85618729    0.00057388    0.00029253    0.00028134
    6.95652174    0.00057094    0.00029231    0.00027862
    7.05685619    0.00056570    0.00029099    0.00027471
    7.15719064    0.00055843    0.00028863    0.00026980
    7.25752508    0.00054944    0.00028531    0.00026413
    7.35785953    0.00053909    0.00028117    0.00025792
    7.45819398    0.00052776    0.00027634    0.00025142
    7.55852843    0.00051584    0.00027100    0.00024484
    7.65886288    0.00050370    0.00026533    0.00023837
    7.75919732    0.00049167    0.00025951    0.00023216
    7.85953177    0.00048005    0.00025372    0.00022633
    7.95986622    0.00046910    0.00024811    0.00022099
    8.06020067    0.00045901    0.00024282    0.00021619
    8.16053512    0.00044994    0.00023795    0.00021199
    8.26086957    0.00044201    0.00023360    0.00020841
    8.36120401    0.00043529    0.00022982    0.00020547
    8.46153846    0.00042983    0.00022667    0.00020316
    8.56187291    0.00042567    0.00022417    0.00020150
